time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
257,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],[],"['3', '10']","['9', '1']"
262,3 finished CPU → wait queue,cpu_to_io,3,CPU0,[],['3'],"[None, '10']","['9', '1']"
263,10 finished CPU → wait queue,cpu_to_io,10,CPU1,[],"['3', '10']","[None, None]","['9', '1']"
263,1 finished I/O → ready queue,io_to_ready,1,IO1,['1'],"['3', '10']","[None, None]","['9', None]"
263,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['3', '10']","['1', None]","['9', None]"
263,3 dispatched to IO1,dispatch_io,3,IO1,[],['10'],"['1', None]","['9', '3']"
268,1 finished all bursts,finished,1,CPU0,[],['10'],"[None, None]","['9', '3']"
269,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],['10'],"[None, None]","[None, '3']"
269,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],['10'],"['9', None]","[None, '3']"
269,10 dispatched to IO0,dispatch_io,10,IO0,[],[],"['9', None]","['10', '3']"
273,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],['9'],"[None, None]","['10', '3']"
284,3 finished I/O → ready queue,io_to_ready,3,IO1,['3'],['9'],"[None, None]","['10', None]"
284,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['9'],"['3', None]","['10', None]"
284,9 dispatched to IO1,dispatch_io,9,IO1,[],[],"['3', None]","['10', '9']"
290,3 finished CPU → wait queue,cpu_to_io,3,CPU0,[],['3'],"[None, None]","['10', '9']"
294,10 finished I/O → ready queue,io_to_ready,10,IO0,['10'],['3'],"[None, None]","[None, '9']"
294,10 dispatched to CPU0,dispatch_cpu,10,CPU0,[],['3'],"['10', None]","[None, '9']"
294,3 dispatched to IO0,dispatch_io,3,IO0,[],[],"['10', None]","['3', '9']"
297,10 finished all bursts,finished,10,CPU0,[],[],"[None, None]","['3', '9']"
298,9 finished I/O → ready queue,io_to_ready,9,IO1,['9'],[],"[None, None]","['3', None]"
298,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],[],"['9', None]","['3', None]"
305,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],[],"['9', None]","[None, None]"
305,3 dispatched to CPU1,dispatch_cpu,3,CPU1,[],[],"['9', '3']","[None, None]"
308,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],['9'],"[None, '3']","[None, None]"
308,9 dispatched to IO0,dispatch_io,9,IO0,[],[],"[None, '3']","['9', None]"
312,3 finished all bursts,finished,3,CPU1,[],[],"[None, None]","['9', None]"
324,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],[],"[None, None]","[None, None]"
324,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],[],"['9', None]","[None, None]"
334,9 finished all bursts,finished,9,CPU0,[],[],"[None, None]","[None, None]"
